DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,Sunrise,Sunset
27,36,71,29.76,26.77,32,3.5,0,-6.8,29,42,29,350,17,T,0,T,340,14,732,1725
21,31,68,29.97,26.96,27,4.8,0,-11.4,34,40,22,320,20,0,0,0,300,16,733,1724
18,29,64,30.37,27.31,25,4.1,0,-13,36,39,18,30,13,0,0,0,130,9,735,1723
24,36,63,30.42,27.35,31,9.6,0,-5.5,29,42,30,140,26,T,0,T,140,21,736,1722
35,41,85,30.33,27.28,37,3.4,0,-0.1,24,46,36,150,13,0.04,0,T,140,10,737,1721
35,40,85,30.3,27.27,38,3.2,0,-0.6,25,44,36,300,12,0.01,0,T,300,10,739,1720
32,45,66,30.23,27.19,39,9.4,0,4.8,20,53,36,160,30,0,0,0,170,23,740,1719
36,48,66,30.02,27.03,42,7.2,0,8.2,17,57,39,160,25,0.03,0,0,110,16,741,1718
38,52,60,29.82,26.85,45,13.4,0,12.7,13,59,44,130,32,0.02,0,0,130,25,743,1717
32,46,63,29.99,27.03,39,6.2,0,7.1,19,55,37,280,31,0.06,0,0,280,25,744,1716
36,49,57,30.07,27.08,44,13.8,0,10.5,16,57,41,140,29,0.01,0,0,140,24,745,1716
37,58,46,29.88,26.92,47,15.2,0,20,7,62,54,90,37,T,0,0,170,24,746,1715
33,46,56,29.95,27.01,41,9.8,0,8.4,19,59,32,250,33,0.03,0,T,250,23,748,1714
25,39,63,30.45,27.4,32,4.4,0,1.8,26,49,28,140,15,T,0,T,140,13,749,1714
26,40,60,30.41,27.35,34,6.6,0,3.2,25,47,32,160,21,0,0,0,150,16,750,1713
34,39,80,30.2,27.16,37,2.6,0,2.6,26,44,34,150,9,0.13,0,0,300,8,751,1712
33,38,80,30.15,27.14,37,6.9,0,2,27,47,29,300,18,0.17,0,T,300,16,752,1712
25,36,68,30.29,27.24,32,7.9,0,0.4,29,46,26,150,22,0,0,0,160,18,754,1711
27,35,72,30.25,27.21,32,2.3,0,-0.2,30,44,26,150,12,0,0,0,150,9,755,1711
31,37,81,30.05,27.02,34,3,0,2.2,28,45,28,210,17,0.02,0,0,210,15,756,1710
37,47,62,29.92,26.93,43,12.4,0,12.5,18,57,37,140,24,0,0,0,140,21,757,1710
39,53,57,29.71,26.78,47,13.7,0,18.9,12,59,47,130,35,0.02,0,0,140,28,758,1710
39,53,60,29.79,26.83,46,13.3,0,19.2,12,58,48,160,30,0.02,0,0,140,22,759,1709
34,49,52,29.62,26.72,44,13.4,0,15.6,16,62,35,150,38,0.04,0,0,210,30,800,1709
28,43,56,30.16,27.16,37,8.8,0,9.9,22,52,34,140,20,0,0,0,150,16,801,1709
39,49,69,30.07,27.09,44,16.9,0,16.2,16,55,43,120,30,0.22,0,0,120,24,802,1709
42,48,76,30.03,27.06,46,6,0,15.5,17,58,37,300,24,0.25,0,0,300,20,803,1708
32,39,75,30.1,27.09,36,3.1,0,6.8,26,45,33,280,14,0,0,0,340,9,804,1708
26,37,66,30.11,27.07,32,2.6,0,5,28,45,28,280,23,0,0,0,280,18,805,1708
28,37,81,30.13,27.11,32,7.5,0,5.3,28,43,31,330,41,0.06,1,0.7,330,26,806,1708
25,31,76,30.38,27.32,30,3.2,0,-0.5,34,37,25,180,12,0.01,0,0.1,320,9,807,1708
31,38,83,30.26,27.21,34,3.9,0,6.8,27,44,32,350,13,0.02,0,T,350,12,808,1708
30,40,69,29.85,26.83,36,9.1,0,9,25,49,30,130,29,0,0,0,140,18,809,1708
35,40,81,29.75,26.78,38,4.2,0,9.2,25,45,35,310,15,0.22,0,0,310,14,810,1709
30,34,86,29.91,26.9,32,1.9,0,3.4,31,36,31,330,9,0,0,0,310,7,810,1709
29,36,75,29.8,26.82,33,3.3,0,5.5,29,41,31,10,12,0,0,T,330,9,811,1709
27,37,69,29.88,26.88,32,4.3,0,6.7,28,40,33,120,22,T,0,T,120,16,812,1709
31,38,82,29.82,26.81,34,10,0,7.8,27,42,33,130,31,0.06,0,0.4,120,24,813,1710
27,38,55,29.71,26.76,36,14.3,0,7.9,27,49,27,280,37,0.01,0,0,280,30,813,1710
16,28,62,30,26.97,24,3.6,0,-2,37,35,20,300,15,0,0,0,290,13,814,1710
13,27,56,30.24,27.18,23,12,0,-2.9,38,35,18,130,30,0,0,0,120,23,814,1711
8,39,28,30.09,27.06,29,19.3,0,9.2,26,45,33,150,45,0,0,0,140,33,815,1711
11,43,29,29.94,26.93,31,13.9,0,13.3,22,46,39,140,29,0,0,0,140,22,815,1712
20,41,46,29.81,26.83,34,14.1,0,11.3,24,49,33,210,33,0.01,0,T,220,25,816,1712
30,37,76,29.89,26.88,34,14.1,0,7.4,28,42,31,120,33,0.05,0,T,120,26,816,1713
26,33,70,30.04,27.04,31,6.5,0,3.4,32,40,26,330,20,0.01,0,0,320,17,817,1714
20,31,68,30.08,27.03,26,15,0,1.4,34,37,24,150,38,0.02,0,0.5,150,29,817,1714
26,31,86,29.83,26.83,28,6.9,0,1.4,34,32,29,310,18,0.02,T,0.3,140,15,817,1715
26,31,83,30.07,27.04,29,6.9,0,1.4,34,35,26,300,21,T,T,T,300,17,818,1716
21,29,75,30.25,27.19,26,4,0,-0.6,36,37,21,110,14,0,0,0,260,12,818,1716
17,24,79,30.21,27.13,21,4.5,0,-5.6,41,28,19,160,17,0.06,0,0.4,150,14,818,1717
18,19,87,30.27,27.2,20,3.2,0,-10.6,46,25,13,300,12,0.01,T,0.1,330,9,818,1718
14,20,78,30.39,27.29,18,5.2,0,-9.7,45,26,13,320,20,0,1,T,310,16,818,1719
12,17,82,30.6,27.47,16,2,0,-12.7,48,24,10,310,9,T,1,T,310,8,818,1719
11,18,74,30.65,27.51,17,4.6,0,-11.8,47,23,13,130,18,0.01,1,0.3,140,15,818,1720
4,14,69,30.6,27.45,11,3.2,0,-15.9,51,23,5,250,14,0,1,0,250,12,818,1721
6,13,76,30.61,27.45,10,1.3,0,-16.9,52,22,3,270,10,0,1,0,280,8,818,1722
6,14,73,30.53,27.37,11,1.9,0,-16,51,22,6,140,14,0,1,0,160,12,818,1723
10,20,72,30.34,27.22,15,2.7,0,-10.1,45,27,12,290,9,0,T,0,130,7,818,1724
16,20,83,30.3,27.19,20,6.4,0,-10.2,45,27,13,140,22,0.19,T,2.1,140,18,818,1725
22,28,85,30.31,27.22,25,2.2,0,-2.3,37,36,20,170,14,T,3,T,160,12,818,1726
28,33,74,29.95,26.9,32,9.9,0,2.6,32,46,20,130,30,0,2,0,130,24,818,1727
24,31,81,29.78,26.78,28,15.5,0,0.5,34,35,26,300,33,0.21,1,2.3,300,26,817,1728
16,18,76,29.99,26.96,21,11.8,0,-12.6,47,28,8,300,25,0.03,3,0.5,310,21,817,1729
5,14,74,30.3,27.19,10,3.9,0,-16.7,51,23,4,310,14,0,3,0,310,12,817,1731
3,10,75,30.43,27.29,8,4.3,0,-20.8,55,17,2,130,14,0,3,0,130,13,816,1732
8,12,75,30.55,27.4,13,5.8,0,-18.9,53,18,6,140,22,0.01,3,0.1,140,18,816,1733
10,15,79,,27.58,14,3.1,0,-16,50,22,8,260,9,0,3,0,260,8,815,1734
6,13,80,30.86,27.68,10,2,0,-18.1,52,21,5,270,10,T,3,T,250,7,815,1735
4,11,79,30.83,27.63,8,0.8,0,-20.3,54,18,3,260,7,T,3,T,260,6,814,1737
3,9,82,30.72,27.52,6,0.9,0,-22.4,56,17,1,210,7,T,3,T,200,6,814,1738
2,8,80,30.74,27.55,5,1.4,0,-23.5,57,17,-1,270,8,0,3,T,280,7,813,1739
2,8,81,30.74,27.54,6,0.3,0,-23.6,57,17,-1,220,7,T,3,T,210,6,812,1740
1,7,82,30.66,27.46,5,1.5,0,-24.8,58,17,-3,250,8,0,3,0,270,7,812,1742
1,8,79,30.54,27.36,5,1.2,0,-23.9,57,19,-3,300,9,T,3,T,300,7,811,1743
6,11,79,30.38,27.23,10,3.1,0,-21,54,20,1,250,20,T,3,T,250,17,810,1744
23,25,89,30.34,27.25,25,1.6,0,-7.2,40,32,18,220,13,0.16,3,0,90,9,809,1746
30,33,92,30.21,27.14,31,2.3,0,0.7,32,37,28,310,14,0.11,3,T,310,13,808,1747
33,36,98,29.94,26.92,33,4.1,0,3.6,29,39,32,300,16,0.15,2,T,290,14,808,1748
27,29,91,29.99,26.96,29,7.6,0,-3.6,36,34,24,,,0,1,0,300,16,807,1750
26,27,90,30.03,26.98,28,2.9,0,-5.7,38,33,21,140,12,0.22,T,2.5,130,9,806,1751
30,34,87,30.11,27.09,32,6.9,0,1.1,31,39,29,310,22,0.11,3,1.5,310,17,805,1752
32,39,80,30.28,27.24,36,5,0,5.9,26,44,33,340,15,0.01,2,T,10,10,804,1754
32,38,82,30.33,27.28,35,2.3,0,4.8,27,47,29,20,10,0,0,0,130,8,803,1755
30,35,87,30.38,27.33,32,2.5,0,1.6,30,43,26,300,12,0,1,0,300,10,802,1756
29,33,91,30.49,27.42,31,4.4,0,-0.6,32,43,23,160,20,0,1,0,170,15,801,1758
28,29,90,30.35,27.27,29,2.5,0,-4.8,36,32,26,270,9,T,0,T,270,8,759,1759
29,32,94,30.24,27.18,30,1.7,0,-1.9,33,34,29,340,9,0,0,0,310,7,758,1800
31,33,95,30.04,27,32,3.7,0,-1.1,32,36,30,60,14,T,0,0,60,12,757,1802
28,37,82,30.15,27.11,31,3.8,0,2.7,28,45,29,130,15,0,0,T,120,13,756,1803
26,39,65,29.97,26.95,33,6.3,0,4.4,26,46,31,120,20,0,0,0,120,17,755,1804
27,35,76,29.89,26.88,31,12,0,0.2,30,44,25,310,32,0.06,2,1.8,310,26,753,1806
22,36,60,29.91,26.9,30,16.9,0,1,29,42,30,310,37,0,T,0,320,31,752,1807
21,36,57,30.09,27.08,30,11.5,0,0.8,29,45,26,330,29,0,0,0,320,24,751,1809
19,32,62,30.23,27.18,27,4.8,0,-3.4,33,42,22,320,17,0,0,0,330,14,749,1810
25,36,68,30.35,27.3,31,4.5,0,0.3,29,45,26,330,20,0,0,0,330,16,748,1811
29,41,66,30.32,27.27,36,5.3,0,5.1,24,51,30,310,24,0,0,0,320,18,747,1813
27,37,69,30.45,27.4,33,5.9,0,0.8,28,48,26,310,22,0,0,0,310,18,745,1814
27,40,64,30.48,27.42,34,3.6,0,3.6,25,53,27,130,14,0,0,0,140,12,744,1815
29,44,59,30.18,27.15,37,8.8,0,7.3,21,57,30,330,37,0.02,0,0,340,26,742,1817
25,36,66,30.08,27.07,31,8,0,-1,29,44,27,330,24,0,0,0,320,22,741,1818
18,37,48,29.99,26.95,30,11.2,0,-0.3,28,47,26,150,31,0,0,0,150,24,739,1819
24,37,61,29.71,26.73,32,8.8,0,-0.5,28,43,31,120,22,0,0,T,300,17,738,1821
21,35,62,29.87,26.87,29,14.1,0,-2.8,30,44,26,320,33,0,0,0,320,23,736,1822
20,32,61,30.07,27.03,28,5.6,0,-6.1,33,43,20,330,24,0,0,0,320,21,735,1823
28,37,72,30.07,27.03,33,4.6,0,-1.4,28,44,29,120,22,0.19,0,T,120,16,733,1825
26,35,73,30.03,27.03,31,13.4,0,-3.7,30,42,28,270,39,0.22,1,0.8,270,29,732,1826
23,34,68,30.31,27.25,30,8.7,0,-5,31,42,25,320,22,0,0,0,330,16,730,1827
24,34,74,30.16,27.11,29,7.5,0,-5.3,31,39,28,120,23,0.11,T,1.3,120,18,728,1828
22,31,70,30.34,27.29,28,5.2,0,-8.6,34,40,22,340,18,0,0,0,330,14,727,1830
21,37,53,30.38,27.32,30,8.9,0,-2.9,28,47,27,140,18,0,0,0,140,15,725,1831
30,40,70,30.42,27.37,36,4.7,0,-0.2,25,48,32,130,20,0.03,0,0,120,15,723,1832
38,46,90,30.51,27.45,40,1.8,0,5.6,19,56,35,300,12,0,0,0,300,10,722,1834
37,47,74,30.23,27.19,41,4.9,0,6.5,18,60,33,150,25,T,0,0,150,21,720,1835
25,39,58,30.03,27.04,35,10.1,0,-1.8,26,48,30,330,33,0.02,0,0,330,26,718,1836
13,35,42,,27.18,28,7.1,0,-6.1,30,47,23,160,18,0,0,0,140,15,717,1837
19,41,45,29.98,26.95,32,14.7,0,-0.4,24,54,28,160,33,0,0,0,170,26,715,1839
25,46,47,29.76,26.8,36,10.6,0,4.3,19,58,34,200,44,T,0,0,250,33,713,1840
22,39,54,30.01,27,33,2.5,0,-3,26,50,27,120,10,0,0,0,140,9,712,1841
23,41,53,29.92,26.92,33,6.2,0,-1.3,24,53,29,290,25,0,0,0,310,18,710,1843
23,42,50,30.18,27.19,34,12,0,-0.6,23,54,30,320,37,0,0,0,320,30,708,1844
17,42,40,30.35,27.32,33,4.7,0,-0.9,23,56,27,310,17,0,0,0,300,14,706,1845
28,47,48,30.24,27.24,39,6.8,0,3.8,18,57,36,330,25,0,0,0,300,22,705,1846
33,50,54,30.2,27.2,42,6.9,0,6.6,15,64,35,130,15,0,0,0,120,13,703,1847
35,57,51,30.17,27.2,45,3.7,0,13.3,8,71,43,130,15,0,0,0,130,12,701,1849
34,56,50,30.12,27.15,44,5.1,0,12,9,69,42,150,16,0,0,0,140,14,659,1850
33,52,53,30.08,27.11,42,5.7,0,7.8,13,63,40,310,24,0,0,0,330,20,657,1851
30,46,54,29.96,26.98,39,4.8,0,1.5,19,58,34,300,30,T,0,0,300,23,656,1852
17,41,41,30.03,27.04,32,11.7,0,-3.7,24,47,34,310,46,T,0,T,310,33,654,1854
18,38,47,30.14,27.12,31,4.5,0,-7,27,51,25,310,24,0,0,0,340,16,652,1855
12,43,32,30.12,27.09,33,8.6,0,-2.2,22,59,27,140,25,0,0,0,140,20,650,1856
39,50,73,29.8,26.83,44,14.1,0,4.6,15,59,40,320,39,0.32,0,0,300,32,649,1857
22,39,54,30.06,27.06,32,10,0,-6.6,26,45,33,330,31,T,0,T,330,26,647,1858
21,35,62,30.11,27.08,29,10.6,0,-10.9,30,42,27,360,30,0.02,0,0.3,360,24,645,1900
13,31,52,30.29,27.23,25,5.2,0,-15.1,34,42,19,290,22,0,0,0,310,15,643,1901
14,35,43,30.25,27.19,28,5.1,0,-11.3,30,47,23,170,16,0,0,0,160,13,641,1902
19,43,39,30.08,27.06,34,10.9,0,-3.5,22,54,32,160,25,0,0,0,160,21,640,1903
30,49,53,29.94,26.96,39,3.1,0,2.4,16,57,40,200,16,T,0,0,150,13,638,1904
33,53,50,29.93,26.96,43,7.9,0,6.2,12,65,40,160,20,T,0,0,190,16,636,1906
33,55,44,29.98,27.03,45,5.9,0,8,10,67,42,330,17,T,0,0,130,14,634,1907
35,56,48,30.11,27.15,46,6,0,8.8,9,67,44,360,24,0,0,0,10,14,632,1908
31,54,45,30.15,27.16,43,6.2,0,6.6,11,68,40,310,20,0,0,0,300,15,631,1909
30,57,39,29.94,26.98,44,5.3,0,9.4,8,73,41,130,15,0,0,0,140,13,629,1910
37,57,48,29.89,26.95,47,7.4,0,9.3,8,69,44,290,21,0,0,0,310,15,627,1912
34,57,45,30,27.06,46,7.7,0,9.1,8,70,43,320,23,0,0,0,320,18,625,1913
34,57,44,30.04,27.08,46,4.6,0,8.9,8,71,43,360,14,0,0,0,300,10,623,1914
37,63,43,29.84,26.9,49,9.6,0,14.8,2,72,54,320,24,T,0,0,320,18,622,1915
36,55,52,29.92,26.98,46,7.4,0,6.6,10,64,46,280,23,0.17,0,0,280,17,620,1916
40,51,71,29.94,26.97,45,8.8,0,2.4,14,55,46,150,24,0.14,0,0,140,21,618,1917
38,49,68,29.73,26.77,43,8.3,0,0.2,16,58,40,280,43,0.31,0,0,290,32,616,1919
27,45,52,29.77,26.82,37,19.7,0,-3.9,20,56,33,310,46,0,0,0,330,35,615,1920
21,50,36,30.07,27.09,38,20,0,0.9,15,62,37,330,41,0,0,0,320,31,613,1921
31,49,49,30.08,27.08,41,5.4,0,-0.3,16,65,33,330,26,T,0,0,330,22,611,1922
26,48,44,30.03,27.06,38,13.1,0,-1.5,17,59,37,320,30,0,0,0,340,23,609,1923
22,46,41,29.92,26.93,38,4.6,0,-3.7,19,62,30,140,22,0,0,0,130,18,608,1925
20,47,35,29.72,26.79,37,16.5,0,-2.9,18,58,36,350,46,T,0,0,330,33,606,1926
16,37,41,29.87,26.87,31,5.9,0,-13.1,28,48,25,200,20,0,0,0,280,13,604,1927
21,40,49,29.79,26.8,33,7.9,0,-10.3,25,52,27,360,28,0,0,0,350,21,603,1928
21,45,46,29.95,26.97,34,13.6,0,-5.5,20,54,35,310,38,0,0,T,320,32,601,1929
11,41,32,30.22,27.2,31,12.6,0,-9.7,24,54,27,300,36,0,0,0,310,28,559,1931
18,41,36,30.31,27.27,34,7.1,0,-9.9,24,57,25,330,30,0,0,0,300,22,558,1932
39,48,74,30.1,27.11,44,4.6,0,-3.2,17,53,42,280,23,0.32,0,0,270,16,556,1933
35,52,56,30.12,27.13,43,8.7,0,0.6,13,61,42,310,25,0.01,0,0,320,20,554,1934
31,51,47,30.05,27.07,42,7.8,0,-0.6,14,64,38,310,26,0,0,0,340,17,553,1935
20,47,38,30.18,27.19,37,16,0,-4.9,18,57,37,320,40,0,0,0,320,30,551,1936
15,41,36,30.24,27.21,33,5.7,0,-11.1,24,55,26,150,22,0,0,0,320,13,550,1938
18,48,34,30.19,27.18,37,4.1,0,-4.4,17,64,31,190,18,0,0,0,310,10,548,1939
22,55,30,29.99,27.03,42,6.5,0,2.3,10,71,39,300,25,0,0,0,340,20,547,1940
29,59,33,30.14,27.19,46,7,0,6.1,6,76,41,300,24,0,0,0,330,17,545,1941
29,63,31,30.09,27.14,47,5.8,0,9.8,2,78,47,360,21,0,0,0,320,17,544,1942
30,61,33,30,27.05,46,8.4,0,7.5,4,71,50,350,26,0,0,0,340,21,542,1944
27,57,36,29.86,26.91,43,11.9,0,3.2,8,71,43,330,37,T,0,0,300,29,541,1945
16,45,34,30.06,27.09,34,14.4,0,-9.1,20,55,35,320,36,0,0,0,320,29,539,1946
15,45,33,30.47,27.45,34,8.5,0,-9.4,20,60,30,330,28,0,0,0,320,18,538,1947
13,54,22,30.44,27.41,39,8.1,0,-0.6,11,71,36,160,25,0,0,0,160,20,536,1948
23,60,26,30.08,27.11,44,10.3,0,5.1,5,76,43,300,39,0,0,0,350,25,535,1949
33,58,40,29.93,26.98,46,5.8,0,2.8,7,71,45,80,21,T,0,0,330,17,534,1951
32,62,34,29.81,26.88,48,5.8,0,6.5,3,78,45,50,29,0,0,0,60,24,532,1952
35,65,35,29.76,26.87,50,7.6,0,9.2,0,80,50,70,43,0.04,0,0,70,33,531,1953
40,64,42,29.8,26.9,52,6.9,0,7.8,1,75,53,80,29,0,0,0,80,22,530,1954
43,66,47,29.94,27.03,53,7.4,1,9.5,0,79,52,80,48,0.01,0,0,90,38,528,1955
42,68,42,30.02,27.08,54,6.5,3,11.2,0,84,52,140,23,T,0,0,140,18,527,1956
39,69,35,30.1,27.17,54,5.5,4,11.9,0,85,53,140,18,0,0,0,140,15,526,1957
35,75,27,30.07,27.14,54,7.1,10,17.6,0,91,58,360,17,0,0,0,350,14,525,1958
36,78,23,29.95,27.05,56,7.2,13,20.3,0,93,63,140,26,0,0,0,130,21,524,2000
36,77,30,29.88,26.99,55,8.8,12,19,0,95,58,320,41,0,0,0,340,35,522,2001
36,65,37,29.94,27.02,50,9.5,0,6.7,0,79,50,10,23,0,0,0,330,18,521,2002
34,65,35,29.85,26.92,50,7.9,0,6.4,0,79,50,330,24,0,0,0,330,20,520,2003
37,62,43,29.82,26.9,49,7.7,0,3.1,3,68,55,280,21,0,0,0,280,16,519,2004
43,59,56,29.84,26.91,51,8.9,0,-0.1,6,66,52,320,21,T,0,0,310,17,518,2005
36,57,48,29.99,27.04,47,10.4,0,-2.4,8,69,45,320,28,0,0,0,310,21,517,2006
35,59,44,30.1,27.14,47,17.1,0,-0.7,6,69,48,300,39,T,0,0,300,28,516,2007
34,59,41,30.07,27.1,47,4.2,0,-1,6,74,43,310,20,0,0,0,310,15,515,2008
29,69,26,29.65,26.74,49,18.3,4,8.7,0,85,52,140,41,0,0,0,150,30,514,2009
18,50,31,29.87,26.93,37,10,0,-10.5,15,58,42,320,25,T,0,0,320,22,514,2010
16,49,27,29.89,26.93,38,7.8,0,-11.8,16,65,33,320,28,0,0,0,300,21,513,2011
23,57,26,29.89,26.95,43,10.3,0,-4.1,8,71,43,330,24,0,0,0,330,20,512,2012
30,62,32,29.85,26.93,47,9.2,0,0.6,3,74,50,340,23,0,0,0,300,18,511,2013
38,61,48,29.88,26.96,48,7.4,0,-0.6,4,72,49,240,41,0.22,0,0,260,32,510,2014
44,56,69,29.9,26.95,50,5.7,0,-5.9,9,66,45,270,23,0.29,0,0,260,20,510,2015
45,58,69,29.8,26.85,50,8.2,0,-4.1,7,65,50,280,29,0.05,0,0,300,21,509,2016
43,58,62,29.76,26.83,49,8.6,0,-4.4,7,66,49,310,31,0.14,0,0,310,26,508,2017
