DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindSpeed,Sunrise,Sunset
19,51,29,30.16,27.18,38,6.9,0,-6.7,14,63,38,20,0,0,0,16,647,1819
19,47,36,30.22,27.22,36,3.6,0,-10.3,18,61,32,16,0,0,0,13,648,1817
18,49,31,30.22,27.22,36,7.2,0,-7.9,16,62,35,20,0,0,0,16,649,1816
18,52,29,30.13,27.13,38,5.4,0,-4.5,13,66,37,14,0,0,0,10,650,1814
19,53,29,29.97,27,38,3.7,0,-3.1,12,68,37,12,0,0,0,9,652,1812
22,56,29,29.98,27.02,41,5.2,0,0.3,9,71,40,15,0,0,0,10,653,1810
27,60,32,29.92,26.98,44,5,0,4.7,5,74,46,14,0,0,0,12,654,1809
29,61,33,29.86,26.93,45,4.3,0,6.1,4,76,45,13,0,0,0,10,655,1807
30,63,31,29.81,26.9,46,3.5,0,8.5,2,77,48,14,0,0,0,12,656,1805
45,61,62,30.14,27.21,51,6.9,0,6.9,4,69,52,21,0.02,0,0,16,658,1804
38,64,42,30.13,27.16,51,9.1,0,10.3,1,78,50,24,0,0,0,17,659,1802
44,65,50,29.95,27.01,53,5.6,0,11.7,0,74,55,20,0.12,0,0,15,700,1800
41,55,59,29.89,26.98,50,12.8,0,2.1,10,65,45,46,0.47,0,0,36,701,1759
29,45,56,30.25,27.25,38,5.1,0,-7.5,20,56,34,20,0,0,0,16,703,1757
28,51,45,30.22,27.21,40,4.8,0,-1.1,14,65,37,17,0,0,0,14,704,1755
36,56,50,29.92,26.95,46,3.5,0,4.3,9,68,43,17,0.001,0,0,13,705,1754
39,54,57,29.77,26.84,47,7.5,0,2.7,11,64,44,25,0.03,0,0,22,706,1752
28,44,50,29.83,26.85,38,2.8,0,-6.9,21,57,31,13,0,0,0,10,708,1751
35,45,70,29.67,26.72,40,7.3,0,-5.4,20,52,37,31,0.2,0,0,23,709,1749
31,44,66,29.88,26.9,37,8.7,0,-6,21,50,37,24,0.09,0,0.001,20,710,1748
30,41,73,30.05,27.04,35,7.1,0,-8.6,24,46,35,23,0.05,0,0,17,711,1746
32,41,78,30.34,27.31,36,4.5,0,-8.2,24,49,32,28,0,0,0,22,713,1745
26,41,54,30.3,27.26,35,9.4,0,-7.8,24,50,32,30,0,0,0,22,714,1743
33,43,67,30.15,27.13,39,3.1,0,-5.4,22,52,33,16,0.001,0,0,14,715,1742
45,52,88,30.06,27.08,47,2.5,0,4,13,61,43,10,0.03,0,0,9,717,1740
44,57,74,30.07,27.1,49,4.4,0,9.4,8,70,44,17,0.001,0,0,14,718,1739
39,60,50,30.01,27.05,49,6.9,0,12.9,5,73,47,18,0,0,0,15,719,1737
38,62,48,29.85,26.91,48,6.8,0,15.3,3,74,49,24,0,0,0,16,720,1736
39,55,56,29.94,27.01,47,6.3,0,8.7,10,64,46,24,0.04,0,0,17,722,1735
35,51,58,30.1,27.11,43,4.9,0,5.1,14,62,39,15,0,0,0,13,723,1733
35,54,55,30.17,27.19,44,2.4,0,8.6,11,65,42,16,0,0,0,13,724,1732
39,53,64,30.34,27.35,45,2.6,0,8,12,65,41,13,0,0,0,10,726,1731
40,55,64,30.34,27.34,47,3.6,0,10.4,10,67,42,13,0,0,0,10,727,1730
41,59,61,30.14,27.15,48,6,0,14.9,6,74,43,16,0,0,0,13,728,1728
38,54,59,29.93,26.97,45,6.2,0,10.3,11,64,43,17,0,0,0,14,730,1727
32,43,68,29.67,26.7,38,5,0,-0.3,22,51,34,23,0,0,0,17,731,1726
27,36,71,29.76,26.77,32,3.5,0,-6.8,29,42,29,17,0.001,0,0.001,14,732,1725
21,31,68,29.97,26.96,27,4.8,0,-11.4,34,40,22,20,0,0,0,16,733,1724
18,29,64,30.37,27.31,25,4.1,0,-13,36,39,18,13,0,0,0,9,735,1723
24,36,63,30.42,27.35,31,9.6,0,-5.5,29,42,30,26,0.001,0,0.001,21,736,1722
35,41,85,30.33,27.28,37,3.4,0,-0.1,24,46,36,13,0.04,0,0.001,10,737,1721
35,40,85,30.3,27.27,38,3.2,0,-0.6,25,44,36,12,0.01,0,0.001,10,739,1720
32,45,66,30.23,27.19,39,9.4,0,4.8,20,53,36,30,0,0,0,23,740,1719
36,48,66,30.02,27.03,42,7.2,0,8.2,17,57,39,25,0.03,0,0,16,741,1718
38,52,60,29.82,26.85,45,13.4,0,12.7,13,59,44,32,0.02,0,0,25,743,1717
32,46,63,29.99,27.03,39,6.2,0,7.1,19,55,37,31,0.06,0,0,25,744,1716
36,49,57,30.07,27.08,44,13.8,0,10.5,16,57,41,29,0.01,0,0,24,745,1716
37,58,46,29.88,26.92,47,15.2,0,20,7,62,54,37,0.001,0,0,24,746,1715
33,46,56,29.95,27.01,41,9.8,0,8.4,19,59,32,33,0.03,0,0.001,23,748,1714
25,39,63,30.45,27.4,32,4.4,0,1.8,26,49,28,15,0.001,0,0.001,13,749,1714
26,40,60,30.41,27.35,34,6.6,0,3.2,25,47,32,21,0,0,0,16,750,1713
34,39,80,30.2,27.16,37,2.6,0,2.6,26,44,34,9,0.13,0,0,8,751,1712
33,38,80,30.15,27.14,37,6.9,0,2,27,47,29,18,0.17,0,0.001,16,752,1712
25,36,68,30.29,27.24,32,7.9,0,0.4,29,46,26,22,0,0,0,18,754,1711
27,35,72,30.25,27.21,32,2.3,0,-0.2,30,44,26,12,0,0,0,9,755,1711
31,37,81,30.05,27.02,34,3,0,2.2,28,45,28,17,0.02,0,0,15,756,1710
37,47,62,29.92,26.93,43,12.4,0,12.5,18,57,37,24,0,0,0,21,757,1710
39,53,57,29.71,26.78,47,13.7,0,18.9,12,59,47,35,0.02,0,0,28,758,1710
39,53,60,29.79,26.83,46,13.3,0,19.2,12,58,48,30,0.02,0,0,22,759,1709
34,49,52,29.62,26.72,44,13.4,0,15.6,16,62,35,38,0.04,0,0,30,800,1709
28,43,56,30.16,27.16,37,8.8,0,9.9,22,52,34,20,0,0,0,16,801,1709
39,49,69,30.07,27.09,44,16.9,0,16.2,16,55,43,30,0.22,0,0,24,802,1709
42,48,76,30.03,27.06,46,6,0,15.5,17,58,37,24,0.25,0,0,20,803,1708
32,39,75,30.1,27.09,36,3.1,0,6.8,26,45,33,14,0,0,0,9,804,1708
26,37,66,30.11,27.07,32,2.6,0,5,28,45,28,23,0,0,0,18,805,1708
28,37,81,30.13,27.11,32,7.5,0,5.3,28,43,31,41,0.06,1,0.7,26,806,1708
25,31,76,30.38,27.32,30,3.2,0,-0.5,34,37,25,12,0.01,0,0.1,9,807,1708
31,38,83,30.26,27.21,34,3.9,0,6.8,27,44,32,13,0.02,0,0.001,12,808,1708
30,40,69,29.85,26.83,36,9.1,0,9,25,49,30,29,0,0,0,18,809,1708
35,40,81,29.75,26.78,38,4.2,0,9.2,25,45,35,15,0.22,0,0,14,810,1709
30,34,86,29.91,26.9,32,1.9,0,3.4,31,36,31,9,0,0,0,7,810,1709
29,36,75,29.8,26.82,33,3.3,0,5.5,29,41,31,12,0,0,0.001,9,811,1709
27,37,69,29.88,26.88,32,4.3,0,6.7,28,40,33,22,0.001,0,0.001,16,812,1709
31,38,82,29.82,26.81,34,10,0,7.8,27,42,33,31,0.06,0,0.4,24,813,1710
27,38,55,29.71,26.76,36,14.3,0,7.9,27,49,27,37,0.01,0,0,30,813,1710
16,28,62,30,26.97,24,3.6,0,-2,37,35,20,15,0,0,0,13,814,1710
13,27,56,30.24,27.18,23,12,0,-2.9,38,35,18,30,0,0,0,23,814,1711
8,39,28,30.09,27.06,29,19.3,0,9.2,26,45,33,45,0,0,0,33,815,1711
11,43,29,29.94,26.93,31,13.9,0,13.3,22,46,39,29,0,0,0,22,815,1712
20,41,46,29.81,26.83,34,14.1,0,11.3,24,49,33,33,0.01,0,0.001,25,816,1712
30,37,76,29.89,26.88,34,14.1,0,7.4,28,42,31,33,0.05,0,0.001,26,816,1713
26,33,70,30.04,27.04,31,6.5,0,3.4,32,40,26,20,0.01,0,0,17,817,1714
20,31,68,30.08,27.03,26,15,0,1.4,34,37,24,38,0.02,0,0.5,29,817,1714
26,31,86,29.83,26.83,28,6.9,0,1.4,34,32,29,18,0.02,0.001,0.3,15,817,1715
26,31,83,30.07,27.04,29,6.9,0,1.4,34,35,26,21,0.001,0.001,0.001,17,818,1716
21,29,75,30.25,27.19,26,4,0,-0.6,36,37,21,14,0,0,0,12,818,1716
17,24,79,30.21,27.13,21,4.5,0,-5.6,41,28,19,17,0.06,0,0.4,14,818,1717
18,19,87,30.27,27.2,20,3.2,0,-10.6,46,25,13,12,0.01,0.001,0.1,9,818,1718
14,20,78,30.39,27.29,18,5.2,0,-9.7,45,26,13,20,0,1,0.001,16,818,1719
12,17,82,30.6,27.47,16,2,0,-12.7,48,24,10,9,0.001,1,0.001,8,818,1719
11,18,74,30.65,27.51,17,4.6,0,-11.8,47,23,13,18,0.01,1,0.3,15,818,1720
4,14,69,30.6,27.45,11,3.2,0,-15.9,51,23,5,14,0,1,0,12,818,1721
6,13,76,30.61,27.45,10,1.3,0,-16.9,52,22,3,10,0,1,0,8,818,1722
6,14,73,30.53,27.37,11,1.9,0,-16,51,22,6,14,0,1,0,12,818,1723
10,20,72,30.34,27.22,15,2.7,0,-10.1,45,27,12,9,0,0.001,0,7,818,1724
16,20,83,30.3,27.19,20,6.4,0,-10.2,45,27,13,22,0.19,0.001,2.1,18,818,1725
22,28,85,30.31,27.22,25,2.2,0,-2.3,37,36,20,14,0.001,3,0.001,12,818,1726
28,33,74,29.95,26.9,32,9.9,0,2.6,32,46,20,30,0,2,0,24,818,1727
24,31,81,29.78,26.78,28,15.5,0,0.5,34,35,26,33,0.21,1,2.3,26,817,1728
16,18,76,29.99,26.96,21,11.8,0,-12.6,47,28,8,25,0.03,3,0.5,21,817,1729
5,14,74,30.3,27.19,10,3.9,0,-16.7,51,23,4,14,0,3,0,12,817,1731
3,10,75,30.43,27.29,8,4.3,0,-20.8,55,17,2,14,0,3,0,13,816,1732
8,12,75,30.55,27.4,13,5.8,0,-18.9,53,18,6,22,0.01,3,0.1,18,816,1733
6,13,80,30.86,27.68,10,2,0,-18.1,52,21,5,10,0.001,3,0.001,7,815,1735
4,11,79,30.83,27.63,8,0.8,0,-20.3,54,18,3,7,0.001,3,0.001,6,814,1737
3,9,82,30.72,27.52,6,0.9,0,-22.4,56,17,1,7,0.001,3,0.001,6,814,1738
2,8,80,30.74,27.55,5,1.4,0,-23.5,57,17,-1,8,0,3,0.001,7,813,1739
2,8,81,30.74,27.54,6,0.3,0,-23.6,57,17,-1,7,0.001,3,0.001,6,812,1740
1,7,82,30.66,27.46,5,1.5,0,-24.8,58,17,-3,8,0,3,0,7,812,1742
1,8,79,30.54,27.36,5,1.2,0,-23.9,57,19,-3,9,0.001,3,0.001,7,811,1743
6,11,79,30.38,27.23,10,3.1,0,-21,54,20,1,20,0.001,3,0.001,17,810,1744
23,25,89,30.34,27.25,25,1.6,0,-7.2,40,32,18,13,0.16,3,0,9,809,1746
30,33,92,30.21,27.14,31,2.3,0,0.7,32,37,28,14,0.11,3,0.001,13,808,1747
33,36,98,29.94,26.92,33,4.1,0,3.6,29,39,32,16,0.15,2,0.001,14,808,1748
26,27,90,30.03,26.98,28,2.9,0,-5.7,38,33,21,12,0.22,0.001,2.5,9,806,1751
30,34,87,30.11,27.09,32,6.9,0,1.1,31,39,29,22,0.11,3,1.5,17,805,1752
32,39,80,30.28,27.24,36,5,0,5.9,26,44,33,15,0.01,2,0.001,10,804,1754
32,38,82,30.33,27.28,35,2.3,0,4.8,27,47,29,10,0,0,0,8,803,1755
30,35,87,30.38,27.33,32,2.5,0,1.6,30,43,26,12,0,1,0,10,802,1756
29,33,91,30.49,27.42,31,4.4,0,-0.6,32,43,23,20,0,1,0,15,801,1758
28,29,90,30.35,27.27,29,2.5,0,-4.8,36,32,26,9,0.001,0,0.001,8,759,1759
29,32,94,30.24,27.18,30,1.7,0,-1.9,33,34,29,9,0,0,0,7,758,1800
31,33,95,30.04,27,32,3.7,0,-1.1,32,36,30,14,0.001,0,0,12,757,1802
28,37,82,30.15,27.11,31,3.8,0,2.7,28,45,29,15,0,0,0.001,13,756,1803
26,39,65,29.97,26.95,33,6.3,0,4.4,26,46,31,20,0,0,0,17,755,1804
27,35,76,29.89,26.88,31,12,0,0.2,30,44,25,32,0.06,2,1.8,26,753,1806
22,36,60,29.91,26.9,30,16.9,0,1,29,42,30,37,0,0.001,0,31,752,1807
21,36,57,30.09,27.08,30,11.5,0,0.8,29,45,26,29,0,0,0,24,751,1809
19,32,62,30.23,27.18,27,4.8,0,-3.4,33,42,22,17,0,0,0,14,749,1810
25,36,68,30.35,27.3,31,4.5,0,0.3,29,45,26,20,0,0,0,16,748,1811
29,41,66,30.32,27.27,36,5.3,0,5.1,24,51,30,24,0,0,0,18,747,1813
27,37,69,30.45,27.4,33,5.9,0,0.8,28,48,26,22,0,0,0,18,745,1814
27,40,64,30.48,27.42,34,3.6,0,3.6,25,53,27,14,0,0,0,12,744,1815
29,44,59,30.18,27.15,37,8.8,0,7.3,21,57,30,37,0.02,0,0,26,742,1817
25,36,66,30.08,27.07,31,8,0,-1,29,44,27,24,0,0,0,22,741,1818
18,37,48,29.99,26.95,30,11.2,0,-0.3,28,47,26,31,0,0,0,24,739,1819
24,37,61,29.71,26.73,32,8.8,0,-0.5,28,43,31,22,0,0,0.001,17,738,1821
21,35,62,29.87,26.87,29,14.1,0,-2.8,30,44,26,33,0,0,0,23,736,1822
20,32,61,30.07,27.03,28,5.6,0,-6.1,33,43,20,24,0,0,0,21,735,1823
28,37,72,30.07,27.03,33,4.6,0,-1.4,28,44,29,22,0.19,0,0.001,16,733,1825
26,35,73,30.03,27.03,31,13.4,0,-3.7,30,42,28,39,0.22,1,0.8,29,732,1826
23,34,68,30.31,27.25,30,8.7,0,-5,31,42,25,22,0,0,0,16,730,1827
24,34,74,30.16,27.11,29,7.5,0,-5.3,31,39,28,23,0.11,0.001,1.3,18,728,1828
22,31,70,30.34,27.29,28,5.2,0,-8.6,34,40,22,18,0,0,0,14,727,1830
21,37,53,30.38,27.32,30,8.9,0,-2.9,28,47,27,18,0,0,0,15,725,1831
30,40,70,30.42,27.37,36,4.7,0,-0.2,25,48,32,20,0.03,0,0,15,723,1832
38,46,90,30.51,27.45,40,1.8,0,5.6,19,56,35,12,0,0,0,10,722,1834
37,47,74,30.23,27.19,41,4.9,0,6.5,18,60,33,25,0.001,0,0,21,720,1835
25,39,58,30.03,27.04,35,10.1,0,-1.8,26,48,30,33,0.02,0,0,26,718,1836
19,41,45,29.98,26.95,32,14.7,0,-0.4,24,54,28,33,0,0,0,26,715,1839
25,46,47,29.76,26.8,36,10.6,0,4.3,19,58,34,44,0.001,0,0,33,713,1840
22,39,54,30.01,27,33,2.5,0,-3,26,50,27,10,0,0,0,9,712,1841
23,41,53,29.92,26.92,33,6.2,0,-1.3,24,53,29,25,0,0,0,18,710,1843
23,42,50,30.18,27.19,34,12,0,-0.6,23,54,30,37,0,0,0,30,708,1844
17,42,40,30.35,27.32,33,4.7,0,-0.9,23,56,27,17,0,0,0,14,706,1845
28,47,48,30.24,27.24,39,6.8,0,3.8,18,57,36,25,0,0,0,22,705,1846
33,50,54,30.2,27.2,42,6.9,0,6.6,15,64,35,15,0,0,0,13,703,1847
35,57,51,30.17,27.2,45,3.7,0,13.3,8,71,43,15,0,0,0,12,701,1849
34,56,50,30.12,27.15,44,5.1,0,12,9,69,42,16,0,0,0,14,659,1850
33,52,53,30.08,27.11,42,5.7,0,7.8,13,63,40,24,0,0,0,20,657,1851
30,46,54,29.96,26.98,39,4.8,0,1.5,19,58,34,30,0.001,0,0,23,656,1852
17,41,41,30.03,27.04,32,11.7,0,-3.7,24,47,34,46,0.001,0,0.001,33,654,1854
18,38,47,30.14,27.12,31,4.5,0,-7,27,51,25,24,0,0,0,16,652,1855
12,43,32,30.12,27.09,33,8.6,0,-2.2,22,59,27,25,0,0,0,20,650,1856
39,50,73,29.8,26.83,44,14.1,0,4.6,15,59,40,39,0.32,0,0,32,649,1857
22,39,54,30.06,27.06,32,10,0,-6.6,26,45,33,31,0.001,0,0.001,26,647,1858
21,35,62,30.11,27.08,29,10.6,0,-10.9,30,42,27,30,0.02,0,0.3,24,645,1900
13,31,52,30.29,27.23,25,5.2,0,-15.1,34,42,19,22,0,0,0,15,643,1901
14,35,43,30.25,27.19,28,5.1,0,-11.3,30,47,23,16,0,0,0,13,641,1902
19,43,39,30.08,27.06,34,10.9,0,-3.5,22,54,32,25,0,0,0,21,640,1903
30,49,53,29.94,26.96,39,3.1,0,2.4,16,57,40,16,0.001,0,0,13,638,1904
33,53,50,29.93,26.96,43,7.9,0,6.2,12,65,40,20,0.001,0,0,16,636,1906
33,55,44,29.98,27.03,45,5.9,0,8,10,67,42,17,0.001,0,0,14,634,1907
35,56,48,30.11,27.15,46,6,0,8.8,9,67,44,24,0,0,0,14,632,1908
31,54,45,30.15,27.16,43,6.2,0,6.6,11,68,40,20,0,0,0,15,631,1909
30,57,39,29.94,26.98,44,5.3,0,9.4,8,73,41,15,0,0,0,13,629,1910
37,57,48,29.89,26.95,47,7.4,0,9.3,8,69,44,21,0,0,0,15,627,1912
34,57,45,30,27.06,46,7.7,0,9.1,8,70,43,23,0,0,0,18,625,1913
34,57,44,30.04,27.08,46,4.6,0,8.9,8,71,43,14,0,0,0,10,623,1914
37,63,43,29.84,26.9,49,9.6,0,14.8,2,72,54,24,0.001,0,0,18,622,1915
36,55,52,29.92,26.98,46,7.4,0,6.6,10,64,46,23,0.17,0,0,17,620,1916
40,51,71,29.94,26.97,45,8.8,0,2.4,14,55,46,24,0.14,0,0,21,618,1917
38,49,68,29.73,26.77,43,8.3,0,0.2,16,58,40,43,0.31,0,0,32,616,1919
27,45,52,29.77,26.82,37,19.7,0,-3.9,20,56,33,46,0,0,0,35,615,1920
21,50,36,30.07,27.09,38,20,0,0.9,15,62,37,41,0,0,0,31,613,1921
31,49,49,30.08,27.08,41,5.4,0,-0.3,16,65,33,26,0.001,0,0,22,611,1922
26,48,44,30.03,27.06,38,13.1,0,-1.5,17,59,37,30,0,0,0,23,609,1923
22,46,41,29.92,26.93,38,4.6,0,-3.7,19,62,30,22,0,0,0,18,608,1925
20,47,35,29.72,26.79,37,16.5,0,-2.9,18,58,36,46,0.001,0,0,33,606,1926
16,37,41,29.87,26.87,31,5.9,0,-13.1,28,48,25,20,0,0,0,13,604,1927
21,40,49,29.79,26.8,33,7.9,0,-10.3,25,52,27,28,0,0,0,21,603,1928
21,45,46,29.95,26.97,34,13.6,0,-5.5,20,54,35,38,0,0,0.001,32,601,1929
11,41,32,30.22,27.2,31,12.6,0,-9.7,24,54,27,36,0,0,0,28,559,1931
18,41,36,30.31,27.27,34,7.1,0,-9.9,24,57,25,30,0,0,0,22,558,1932
39,48,74,30.1,27.11,44,4.6,0,-3.2,17,53,42,23,0.32,0,0,16,556,1933
35,52,56,30.12,27.13,43,8.7,0,0.6,13,61,42,25,0.01,0,0,20,554,1934
31,51,47,30.05,27.07,42,7.8,0,-0.6,14,64,38,26,0,0,0,17,553,1935
20,47,38,30.18,27.19,37,16,0,-4.9,18,57,37,40,0,0,0,30,551,1936
15,41,36,30.24,27.21,33,5.7,0,-11.1,24,55,26,22,0,0,0,13,550,1938
18,48,34,30.19,27.18,37,4.1,0,-4.4,17,64,31,18,0,0,0,10,548,1939
22,55,30,29.99,27.03,42,6.5,0,2.3,10,71,39,25,0,0,0,20,547,1940
29,59,33,30.14,27.19,46,7,0,6.1,6,76,41,24,0,0,0,17,545,1941
29,63,31,30.09,27.14,47,5.8,0,9.8,2,78,47,21,0,0,0,17,544,1942
30,61,33,30,27.05,46,8.4,0,7.5,4,71,50,26,0,0,0,21,542,1944
27,57,36,29.86,26.91,43,11.9,0,3.2,8,71,43,37,0.001,0,0,29,541,1945
16,45,34,30.06,27.09,34,14.4,0,-9.1,20,55,35,36,0,0,0,29,539,1946
15,45,33,30.47,27.45,34,8.5,0,-9.4,20,60,30,28,0,0,0,18,538,1947
13,54,22,30.44,27.41,39,8.1,0,-0.6,11,71,36,25,0,0,0,20,536,1948
23,60,26,30.08,27.11,44,10.3,0,5.1,5,76,43,39,0,0,0,25,535,1949
33,58,40,29.93,26.98,46,5.8,0,2.8,7,71,45,21,0.001,0,0,17,534,1951
32,62,34,29.81,26.88,48,5.8,0,6.5,3,78,45,29,0,0,0,24,532,1952
35,65,35,29.76,26.87,50,7.6,0,9.2,0,80,50,43,0.04,0,0,33,531,1953
40,64,42,29.8,26.9,52,6.9,0,7.8,1,75,53,29,0,0,0,22,530,1954
43,66,47,29.94,27.03,53,7.4,1,9.5,0,79,52,48,0.01,0,0,38,528,1955
42,68,42,30.02,27.08,54,6.5,3,11.2,0,84,52,23,0.001,0,0,18,527,1956
39,69,35,30.1,27.17,54,5.5,4,11.9,0,85,53,18,0,0,0,15,526,1957
35,75,27,30.07,27.14,54,7.1,10,17.6,0,91,58,17,0,0,0,14,525,1958
36,78,23,29.95,27.05,56,7.2,13,20.3,0,93,63,26,0,0,0,21,524,2000
36,77,30,29.88,26.99,55,8.8,12,19,0,95,58,41,0,0,0,35,522,2001
36,65,37,29.94,27.02,50,9.5,0,6.7,0,79,50,23,0,0,0,18,521,2002
34,65,35,29.85,26.92,50,7.9,0,6.4,0,79,50,24,0,0,0,20,520,2003
37,62,43,29.82,26.9,49,7.7,0,3.1,3,68,55,21,0,0,0,16,519,2004
43,59,56,29.84,26.91,51,8.9,0,-0.1,6,66,52,21,0.001,0,0,17,518,2005
36,57,48,29.99,27.04,47,10.4,0,-2.4,8,69,45,28,0,0,0,21,517,2006
35,59,44,30.1,27.14,47,17.1,0,-0.7,6,69,48,39,0.001,0,0,28,516,2007
34,59,41,30.07,27.1,47,4.2,0,-1,6,74,43,20,0,0,0,15,515,2008
29,69,26,29.65,26.74,49,18.3,4,8.7,0,85,52,41,0,0,0,30,514,2009
18,50,31,29.87,26.93,37,10,0,-10.5,15,58,42,25,0.001,0,0,22,514,2010
16,49,27,29.89,26.93,38,7.8,0,-11.8,16,65,33,28,0,0,0,21,513,2011
23,57,26,29.89,26.95,43,10.3,0,-4.1,8,71,43,24,0,0,0,20,512,2012
30,62,32,29.85,26.93,47,9.2,0,0.6,3,74,50,23,0,0,0,18,511,2013
38,61,48,29.88,26.96,48,7.4,0,-0.6,4,72,49,41,0.22,0,0,32,510,2014
44,56,69,29.9,26.95,50,5.7,0,-5.9,9,66,45,23,0.29,0,0,20,510,2015
45,58,69,29.8,26.85,50,8.2,0,-4.1,7,65,50,29,0.05,0,0,21,509,2016
43,58,62,29.76,26.83,49,8.6,0,-4.4,7,66,49,31,0.14,0,0,26,508,2017
37,56,53,29.97,27.03,47,9,0,-6.7,9,66,45,23,0.001,0,0,18,508,2018
32,57,40,30.16,27.19,45,9.1,0,-5.9,8,70,44,30,0,0,0,23,507,2018
31,65,30,30.02,27.07,49,4.8,0,1.8,0,81,49,20,0,0,0,12,507,2019
36,65,37,29.79,26.88,51,12.6,0,1.6,0,78,51,37,0,0,0,30,506,2020
34,63,36,29.93,27.01,49,8.3,0,-0.7,2,76,49,24,0,0,0,18,506,2021
36,65,36,29.97,27.04,51,6,0,1,0,80,49,23,0,0,0,18,505,2022
34,71,27,29.96,27.04,53,6.4,6,6.8,0,86,55,29,0,0,0,16,505,2022
38,77,27,29.87,26.97,56,5.6,12,12.5,0,93,60,20,0,0,0,10,505,2023
41,77,30,29.84,26.95,58,10.1,12,12.3,0,91,63,26,0,0,0,20,504,2024
35,74,27,29.91,27.01,54,9.5,9,9,0,88,59,24,0,0,0,18,504,2024
39,77,27,29.78,26.88,56,7.4,12,11.7,0,94,60,20,0,0,0,16,504,2025
33,76,24,29.63,26.75,53,9.2,11,10.5,0,91,61,29,0.001,0,0,23,504,2025
34,73,25,29.74,26.87,53,5.6,8,7.2,0,85,60,18,0,0,0,14,503,2026
34,66,33,29.86,26.95,50,10.7,1,-0.1,0,81,51,29,0.001,0,0,22,503,2026
34,63,38,29.96,27.04,48,13.2,0,-3.4,2,72,53,31,0.001,0,0,24,503,2027
34,59,42,30.12,27.16,47,5.3,0,-7.6,6,71,46,20,0,0,0,14,503,2027
26,68,25,29.93,27,48,6.6,3,1.1,0,85,50,18,0,0,0,15,503,2028
29,73,22,29.86,26.95,52,4.1,8,5.8,0,92,54,14,0,0,0,10,503,2028
32,76,23,29.82,26.93,54,5.7,11,8.5,0,93,58,17,0,0,0,14,503,2029
35,73,27,29.68,26.79,53,9.3,8,5.2,0,88,57,46,0,0,0,37,503,2029
44,58,68,29.83,26.91,49,9.7,0,-10.1,7,69,47,29,0.01,0,0,24,503,2029
34,57,44,30,27.03,47,5.2,0,-11.4,8,70,44,21,0,0,0,16,504,2029
37,61,45,30.01,27.07,48,10.1,0,-7.7,4,70,51,29,0,0,0,23,504,2030
