DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,Sunrise,Sunset
32,35,93,30.15,25.84,33,2.3,0,0.9,30,38,32,230,14,0.37,0,,230,13,626,1750
30,36,87,29.91,25.61,33,2.3,0,1.6,29,42,30,230,10,T,0,,60,8,624,1751
22,29,70,29.84,25.56,27,10,0,-5.7,36,38,20,280,30,T,0,,290,23,622,1752
29,33,86,30.12,25.8,31,3.7,0,-2.1,32,43,22,320,20,0.12,0,,320,16,621,1753
32,42,75,30.18,25.88,36,5.9,0,6.6,23,50,33,200,18,0.04,0,,200,15,619,1755
28,36,71,29.99,25.72,33,9.1,0,0.3,29,44,27,240,41,0.04,0,,230,35,617,1756
24,29,81,30.19,25.85,27,2.7,0,-7,36,37,21,100,9,T,0,,160,8,615,1757
26,31,83,30.11,25.79,29,3.2,0,-5.4,34,43,19,240,22,T,0,,230,17,614,1758
29,34,83,30.09,25.77,31,7.2,0,-2.6,31,45,22,250,38,0.1,0,,250,28,612,1800
29,37,74,30.18,25.87,33,5.4,0,0.1,28,46,27,210,17,0.01,0,,220,14,610,1801
35,40,85,29.92,25.65,37,9.4,0,2.8,25,46,33,200,38,0.23,0,,200,31,608,1802
28,34,81,29.95,25.67,31,8.6,0,-3.5,31,42,26,220,47,0.13,0,,220,35,607,1803
23,29,77,30.13,25.79,28,5.9,0,-8.7,36,40,18,150,29,0.01,0,,150,23,605,1804
26,37,64,29.83,25.56,33,9.8,0,-1,28,44,30,120,38,T,0,,140,28,603,1806
24,34,69,29.75,25.48,30,7.4,0,-4.2,31,43,25,200,30,T,0,,210,23,601,1807
29,40,74,29.53,25.3,34,13.7,0,1.6,25,47,33,30,35,T,0,,40,28,559,1808
29,36,80,29.6,25.37,32,7.2,0,-2.6,29,43,28,270,24,0.15,0,,270,21,558,1809
24,31,76,29.98,25.68,28,4.2,0,-7.9,34,40,22,250,18,T,0,,240,15,556,1810
29,32,86,29.81,25.53,31,9.2,0,-7,33,40,23,40,23,0.05,0,,110,18,554,1812
28,35,76,29.58,25.35,32,10.4,0,-4.2,30,41,28,130,35,0.01,0,,110,21,552,1813
27,32,81,29.71,25.45,30,9.2,0,-7.4,33,40,24,180,30,0.24,0,,220,24,550,1814
30,35,85,29.67,25.42,32,8.8,0,-4.6,30,41,29,220,26,0.31,2,,230,22,549,1815
26,32,85,29.81,25.53,29,6.1,0,-7.7,33,40,24,220,33,0.15,T,,220,26,547,1816
25,35,69,30.11,25.81,31,5.1,0,-4.9,30,43,27,,,T,0,,230,11,545,1818
,39,84,,25.84,,5.5,0,-1,26,45,32,,,0.06,0,,220,13,543,1819
,50,67,,25.98,,13.9,0,9.8,15,61,39,260,36,0,0,,230,28,541,1820
36,51,61,30.18,25.92,44,10.1,0,10.7,14,65,37,250,25,0,0,,240,21,540,1821
36,48,63,29.92,25.68,43,3.9,0,7.6,17,66,30,210,32,0,0,,190,20,538,1822
23,40,56,29.85,25.61,33,15.8,0,-0.6,25,52,28,270,39,0.01,0,,270,32,536,1824
20,36,57,30.22,25.9,29,4.8,0,-4.7,29,45,26,300,17,0,0,,300,15,534,1825
33,44,64,30.1,25.82,40,6.9,0,3.2,21,55,33,220,24,0.02,0,,200,20,532,1826
28,40,60,29.96,25.72,36,11.2,0,-1,25,49,31,260,39,0.01,0,,250,23,531,1827
25,36,74,29.87,25.59,30,8.3,0,-5.1,29,44,27,200,37,0.04,0,,270,29,529,1828
20,31,65,29.73,25.46,27,11,0,-10.2,34,39,22,350,31,T,T,,350,26,527,1830
19,37,52,29.77,25.51,29,18.4,0,-4.4,28,46,28,310,40,0,0,,310,31,525,1831
20,38,50,29.88,25.61,31,9.4,0,-3.5,27,49,27,250,25,0,0,,260,20,524,1832
31,42,64,30.12,25.84,37,6.3,0,0.3,23,55,28,270,18,T,0,,260,14,522,1833
26,41,53,30.13,25.86,35,11.4,0,-0.8,24,52,29,270,31,T,0,,250,26,520,1834
23,40,53,30.01,25.73,34,3.3,0,-2,25,53,26,100,17,0,0,,140,10,518,1835
29,36,73,29.94,25.68,34,9.7,0,-6.2,29,45,26,240,41,0.11,T,,240,32,517,1837
23,38,61,30.26,25.93,31,7.2,0,-4.4,27,49,26,220,25,0,0,,190,22,515,1838
36,39,82,30.14,25.84,38,7,0,-3.5,26,50,27,190,25,0.11,0,,190,21,513,1839
39,48,75,29.97,25.73,43,7.6,0,5.3,17,60,35,210,28,0.11,0,,200,23,512,1840
32,45,61,29.84,25.61,40,9.4,0,2,20,54,36,250,25,0,0,,250,21,510,1841
21,36,53,29.88,25.63,31,12.5,0,-7.2,29,48,24,270,32,T,0,,250,25,508,1843
16,34,51,30.08,25.77,27,4.2,0,-9.4,31,49,18,170,17,0,0,,150,13,507,1844
27,38,63,29.86,25.61,35,6.4,0,-5.6,27,47,29,250,18,0.03,0,,250,15,505,1845
21,34,55,29.99,25.71,31,13.5,0,-9.9,31,45,22,250,32,T,0,,270,25,504,1846
18,33,53,30.11,25.8,29,5,0,-11.1,32,48,18,130,15,0,0,,150,12,502,1847
16,40,38,29.92,25.66,32,6.5,0,-4.4,25,55,24,40,20,0,0,,50,14,500,1849
34,42,77,29.85,25.61,38,7.3,0,-2.6,23,49,35,260,30,0.3,0,,260,23,459,1850
30,40,69,29.85,25.59,35,15.2,0,-4.9,25,49,31,250,53,0.13,0,,250,43,457,1851
24,39,59,30.09,25.8,33,9.9,0,-6.2,26,50,28,290,30,0,0,,260,24,456,1852
26,44,51,30.04,25.76,36,7.8,0,-1.5,21,62,26,190,29,0,0,,180,23,454,1853
25,38,65,29.99,25.72,32,10.9,0,-7.8,27,47,28,260,35,0.04,0,,260,28,453,1854
18,37,53,30.21,25.89,29,11.2,0,-9.1,28,49,24,260,28,0,T,,260,22,451,1856
21,39,50,30.32,26,32,7.6,0,-7.4,26,52,25,190,18,0,0,,260,15,450,1857
22,39,52,30.31,25.99,34,3.9,0,-7.7,26,58,20,190,14,0,0,,170,10,449,1858
26,48,48,30.19,25.92,38,9.7,0,1,17,63,32,270,44,T,0,,270,37,447,1859
21,42,48,30.34,26.02,33,7.8,0,-5.3,23,57,27,270,28,0,0,,280,21,446,1900
25,42,52,30.35,26.03,35,4.2,0,-5.7,23,61,22,200,20,0,0,,30,10,444,1901
30,49,50,30.06,25.82,41,7.1,0,1,16,70,28,230,28,0,0,,230,21,443,1903
37,49,67,29.9,25.69,44,5.1,0,0.7,16,60,37,260,22,0.05,0,,260,16,442,1904
32,48,55,29.77,25.57,41,9.7,0,-0.6,17,58,37,260,24,0,0,,210,20,440,1905
27,42,56,29.76,25.55,36,11.3,0,-6.9,23,52,31,290,35,T,0,,280,29,439,1906
29,40,61,29.92,25.66,37,15.1,0,-9.2,25,53,26,310,39,0,0,,300,30,438,1907
29,54,45,29.9,25.68,42,9.8,0,4.5,11,69,39,320,35,0,0,,310,24,437,1908
34,53,51,29.87,25.66,44,6.8,0,3.2,12,72,33,200,30,T,0,,200,25,435,1909
37,50,66,30.08,25.84,43,7.1,0,-0.1,15,62,37,250,23,0.05,0,,250,20,434,1911
38,58,51,29.94,25.74,48,9.2,0,7.6,7,78,37,150,40,0.03,0,,140,31,433,1912
47,57,73,29.65,25.5,51,10.9,0,6.3,8,72,42,210,48,0.62,0,,210,39,432,1913
36,42,89,29.66,25.45,38,12,0,-9,23,50,33,150,37,0.8,0,,150,30,431,1914
31,40,74,29.88,25.63,36,7.8,0,-11.2,25,47,32,220,23,0.02,0,,240,17,430,1915
34,40,80,29.73,25.5,37,3.9,0,-11.5,25,48,31,140,29,0.12,0,,130,23,429,1916
34,45,65,29.78,25.56,41,13.9,0,-6.7,20,57,33,330,36,0,0,,330,30,428,1917
34,54,50,29.94,25.73,43,12.2,0,2,11,65,42,320,26,T,0,,300,21,427,1918
34,53,51,29.99,25.77,44,6.7,0,0.8,12,66,39,270,18,0,0,,280,15,426,1919
41,53,65,29.93,25.72,47,7.5,0,0.5,12,63,42,220,18,T,0,,230,15,425,1920
35,51,58,29.89,25.68,44,9.1,0,-1.7,14,64,38,320,24,0.03,0,,320,18,424,1921
34,46,66,29.91,25.69,40,9.1,0,-6.9,19,56,35,250,25,0.05,0,,250,21,423,1922
31,45,57,30.01,25.76,39,6.9,0,-8.1,20,60,30,200,18,0,0,,180,14,423,1923
35,47,72,29.84,25.61,41,9,0,-6.3,18,57,37,230,26,0.49,0,,240,21,422,1924
32,41,70,30,25.74,37,7.5,0,-12.6,24,50,32,220,25,0.02,0,,230,22,421,1925
35,46,69,29.93,25.68,40,9.6,0,-7.8,19,55,36,260,35,0.2,0,,260,26,420,1926
32,42,75,29.81,25.57,36,9,0,-12,23,50,33,340,30,T,0,,350,22,420,1927
34,44,69,29.75,25.52,39,17.1,0,-10.1,21,51,36,310,37,0.01,0,,290,29,419,1928
36,49,63,29.85,25.63,42,7.4,0,-5.3,16,57,40,190,32,0.01,0,,200,24,419,1928
36,48,66,29.9,25.69,43,8,0,-6.5,17,58,37,140,44,0.02,0,,140,26,418,1929
35,42,77,29.92,25.67,39,7.2,0,-12.7,23,52,32,210,32,0.04,0,,250,25,417,1930
33,45,68,30,25.74,38,9,0,-9.9,20,55,35,320,24,0.01,0,,290,18,417,1931
31,45,54,30.05,25.8,40,10,0,-10.1,20,62,28,40,29,0,0,,40,24,416,1932
35,57,45,29.97,25.76,47,13,0,1.7,8,69,45,50,31,0,0,,50,25,416,1932
43,59,58,29.89,25.71,50,6.2,0,3.5,6,72,46,250,24,T,0,,250,20,416,1933
46,54,77,29.79,25.61,49,9.3,0,-1.7,11,60,48,290,33,0.58,0,,280,24,415,1934
40,57,57,29.91,25.71,48,9.4,0,1.1,8,69,44,280,25,T,0,,270,21,415,1935
34,49,62,30.01,25.78,41,8.9,0,-7.1,16,62,36,310,28,T,0,,300,22,415,1935
38,51,61,30.09,25.84,45,6.1,0,-5.3,14,66,35,220,18,0,0,,140,13,414,1936
43,52,71,29.99,25.77,47,7,0,-4.5,13,62,42,340,25,0.08,0,,340,18,414,1936
42,49,79,29.89,25.67,45,1.9,0,-7.7,16,61,36,220,32,0.08,0,,210,25,414,1937
43,52,72,29.88,25.68,48,3.5,0,-5,13,69,35,240,26,0.01,0,,250,21,414,1937
41,59,54,29.98,25.79,49,9.1,0,1.8,6,72,45,240,24,T,0,,240,20,414,1938
36,55,49,30.12,25.89,47,5.4,0,-2.5,10,74,35,150,18,0,0,,280,13,414,1938
32,51,50,30.01,25.8,42,9.4,0,-6.7,14,65,37,250,24,0,0,,300,18,414,1939
31,51,51,29.95,25.72,41,7.5,0,-7,14,67,34,260,21,0,0,,260,15,414,1939
29,53,41,29.9,25.7,43,7.6,0,-5.3,12,73,33,240,23,0,0,,190,15,414,1940
43,53,71,29.87,25.68,48,7.7,0,-5.5,12,61,45,280,21,0.18,0,,230,17,414,1940
42,55,65,29.97,25.76,48,6.9,0,-3.8,10,69,41,280,22,0.02,0,,280,17,414,1940
43,60,56,29.95,25.76,51,5.6,0,0.9,5,78,41,140,15,0,0,,210,13,414,1940
45,64,52,29.95,25.78,54,4.4,0,4.6,1,81,47,160,15,0,0,,120,10,414,1941
,67,48,,25.71,,5.8,2,7.3,0,86,48,200,38,T,0,,200,30,415,1941
,60,45,,25.72,,10,0,-0.1,5,75,44,320,28,0,0,,260,22,415,1941
32,55,46,29.94,25.74,44,9.1,0,-5.4,10,71,39,250,21,0,0,,230,16,415,1941
33,56,45,29.91,25.71,45,6.9,0,-4.7,9,71,40,260,15,0,0,,190,13,416,1941
35,60,42,29.94,25.75,48,5.6,0,-1.1,5,76,43,140,15,0,0,,20,12,416,1941
42,65,45,29.76,25.61,53,5.7,0,3.6,0,86,43,100,21,0,0,,100,16,416,1941
46,63,58,29.71,25.58,53,7.8,0,1.3,2,80,45,220,33,0.07,0,,200,25,417,1941
46,60,63,29.79,25.63,52,6.6,0,-2.1,5,74,46,250,26,T,0,,160,21,417,1941
38,55,52,30.01,25.81,47,6.9,0,-7.4,10,73,36,210,21,0,0,,230,15,418,1941
38,59,51,30.06,25.85,48,3.4,0,-3.8,6,78,39,190,15,0,0,,270,10,418,1941
41,65,40,29.88,25.72,54,7.6,0,1.9,0,89,41,50,26,0,0,,50,15,419,1941
43,68,43,29.89,25.75,55,7,3,4.5,0,83,53,200,17,0,0,,270,14,419,1940
43,67,41,29.95,25.79,55,6.8,2,3.2,0,87,47,320,23,0,0,,310,17,420,1940
39,67,37,30.03,25.87,53,5.1,2,2.9,0,88,45,30,16,0,0,,30,12,421,1940
44,71,39,29.96,25.82,56,4.7,6,6.6,0,94,47,120,17,0,0,,120,15,421,1940
,68,49,,,,7.1,3,3.2,0,86,49,280,28,0.03,0,,280,21,422,1939
,58,41,,25.77,,6,0,-7.1,7,79,36,210,20,0,0,,160,12,423,1939
31,62,32,29.86,25.69,48,7,0,-3.4,3,86,38,200,21,0,0,,290,16,423,1938
37,64,36,29.82,25.68,51,4.8,0,-1.7,1,83,44,310,17,0,0,,310,13,424,1938
44,67,44,29.8,25.67,55,5.6,2,1.1,0,86,47,270,20,0,0,,290,15,425,1937
44,66,49,29.8,25.64,54,6.7,1,-0.2,0,81,50,270,24,0,0,,260,21,426,1937
47,61,68,29.83,25.66,52,4.9,0,-5.5,4,73,49,230,21,0.05,0,,230,17,426,1936
39,62,47,29.84,25.67,50,7.5,0,-4.7,3,75,48,210,22,0,0,,210,16,427,1936
42,59,54,29.8,25.63,51,5.2,0,-7.9,6,80,38,110,44,T,0,,130,26,428,1935
45,63,56,29.76,25.61,53,6.2,0,-4.1,2,80,46,190,21,0.01,0,,200,15,429,1934
41,64,46,29.8,25.65,52,6.3,0,-3.3,1,85,43,190,22,0,0,,180,15,430,1933
41,66,43,29.85,25.71,53,7.4,1,-1.5,0,87,44,300,26,0,0,,300,20,431,1933
43,60,53,29.98,25.81,51,12.1,0,-7.6,5,71,48,210,36,0.01,0,,220,28,432,1932
41,58,52,30.02,25.82,50,4.8,0,-9.8,7,78,37,310,18,0,0,,310,14,433,1931
40,64,44,29.88,25.72,52,9,0,-3.9,1,82,45,210,31,0,0,,190,17,434,1930
35,61,42,29.92,25.75,48,7.1,0,-7,4,80,42,260,20,0,0,,300,13,435,1929
36,62,40,29.99,25.81,49,3.4,0,-6.1,3,86,37,40,13,0,0,,30,10,436,1928
42,70,37,29.96,25.81,55,5.1,5,1.9,0,93,47,240,17,0,0,,120,13,437,1927
,66,43,,,,8.9,1,-2.2,0,87,44,300,28,0,0,,300,21,438,1926
39,63,46,29.93,25.76,50,7,0,-5.2,2,81,44,200,18,0,0,,220,14,439,1925
36,63,37,29.97,25.79,50,7.6,0,-5.2,2,84,42,320,24,0,0,,310,17,440,1924
35,63,35,30.05,25.87,50,4.1,0,-5.2,2,86,39,330,16,0,0,,330,13,441,1923
38,70,34,29.97,25.82,53,4.2,5,1.9,0,92,47,340,16,0,0,,350,13,442,1922
41,76,33,29.89,25.76,56,5.8,11,7.9,0,95,57,130,20,T,0,,120,16,443,1921
45,71,39,29.89,25.76,57,5.8,6,3,0,90,52,270,35,T,0,,260,26,444,1920
44,71,42,29.95,25.81,55,5,6,3.1,0,89,53,110,17,0,0,,270,12,445,1919
35,67,35,29.95,25.79,52,6.6,2,-0.9,0,90,43,220,26,0,0,,210,21,446,1918
40,68,42,29.87,25.74,53,4.2,3,0.3,0,89,46,110,16,0,0,,280,12,447,1916
44,65,45,29.86,25.72,54,7.9,0,-2.6,0,84,45,290,44,T,0,,290,33,448,1915
44,66,44,29.92,25.76,54,4.4,1,-1.5,0,86,45,310,20,0,0,,310,14,449,1914
39,72,35,29.88,25.74,54,6.2,7,4.7,0,90,53,250,24,0,0,,300,15,450,1912
34,70,31,29.9,25.76,51,6.6,5,2.8,0,89,50,220,22,0,0,,220,17,451,1911
38,68,38,29.91,25.76,52,7,3,1,0,86,49,250,43,0.09,0,,250,29,452,1910
38,64,41,29.9,25.74,51,5.1,0,-2.8,1,85,42,200,17,0,0,,190,14,454,1908
31,62,31,29.88,25.72,48,7.8,0,-4.6,3,83,40,220,24,0,0,,200,18,455,1907
,63,36,,,,5.6,0,-3.4,2,83,42,350,16,0,0,,350,12,456,1905
,64,33,,25.77,,4.3,0,-2.2,1,88,40,100,16,0,0,,270,14,457,1904
38,67,35,29.87,25.72,53,6.6,2,1,0,88,46,210,37,0,0,,210,20,458,1903
37,65,37,29.86,25.71,51,6.6,0,-0.8,0,87,42,280,25,T,0,,290,20,459,1901
35,60,44,29.98,25.81,48,6.8,0,-5.5,5,78,42,280,30,0,0,,250,16,500,1900
36,61,41,30.02,25.83,49,4.3,0,-4.3,4,84,38,70,15,0,0,,270,13,501,1858
36,69,33,30,25.84,51,6.8,4,3.9,0,89,49,230,26,0,0,,220,17,503,1856
29,68,24,30,25.84,49,7.6,3,3.2,0,86,49,310,20,0,0,,320,15,504,1855
33,64,32,29.93,25.77,49,4.7,0,-0.6,1,86,41,330,22,0,0,,330,16,505,1853
37,70,34,29.87,25.74,53,5.5,5,5.7,0,91,49,260,33,0,0,,90,14,506,1852
37,70,29,29.86,25.74,54,6.6,5,5.9,0,94,46,300,21,0,0,,280,16,507,1850
39,67,37,29.93,25.79,53,7.5,2,3.2,0,90,44,230,25,0,0,,230,20,508,1848
37,68,36,30,25.84,52,4.6,3,4.5,0,88,47,150,16,0,0,,180,10,509,1847
40,69,38,29.94,25.8,53,7,4,5.7,0,92,46,180,38,T,0,,180,31,510,1845
43,69,47,29.93,25.79,54,4.6,4,6,0,89,48,170,18,0,0,,170,15,512,1844
43,68,43,29.96,25.8,54,4.1,3,5.3,0,93,43,100,14,0,0,,240,12,513,1842
45,70,44,29.99,25.84,56,5,5,7.6,0,91,48,120,24,T,0,,140,17,514,1840
39,69,40,29.93,25.78,53,5.5,4,6.8,0,92,46,260,24,0,0,,290,18,515,1838
36,64,39,29.89,25.74,50,5.2,0,2.1,1,87,40,260,18,0,0,,260,15,516,1837
32,64,32,29.78,25.64,49,7.4,0,2.4,1,86,42,300,24,0,0,,300,18,517,1835
29,59,37,29.84,25.68,44,9.5,0,-2.3,6,73,44,230,22,0,0,,260,18,518,1833
29,52,46,30.11,25.87,41,5.8,0,-9,13,73,30,150,20,T,0,,280,14,519,1831
27,56,33,30.1,25.88,43,5.8,0,-4.7,9,81,31,290,18,T,0,,310,14,520,1830
27,57,37,30.1,25.88,43,2.9,0,-3.4,8,81,33,160,17,T,0,,120,9,522,1828
26,62,28,29.99,25.81,45,4.8,0,1.8,3,88,35,30,14,T,0,,40,12,523,1826
31,65,29,29.94,25.78,49,4,0,5.2,0,88,42,260,17,T,0,,260,14,524,1824
35,67,34,30.08,25.91,50,3.4,2,7.5,0,89,44,180,14,T,0,,130,10,525,1823
35,69,31,30.12,25.95,52,8.8,4,9.8,0,91,47,30,23,T,0,,40,18,526,1821
35,74,28,30.12,25.95,53,6.7,9,15.1,0,90,57,330,22,T,0,,330,16,527,1819
31,69,26,30.06,25.9,51,8.9,4,10.4,0,90,48,20,28,0,0,,20,21,528,1817
32,66,33,29.96,25.8,49,5.8,1,7.7,0,89,43,60,18,T,0,,60,14,529,1815
35,68,34,29.94,25.78,51,5.8,3,10.1,0,89,47,100,17,T,0,,110,13,531,1814
39,65,43,30.06,25.88,51,4.5,0,7.4,0,86,43,40,22,0,0,,40,16,532,1812
41,64,45,30.07,25.88,51,4.5,0,6.7,1,85,43,330,33,T,0,,310,26,533,1810
42,64,45,29.9,25.74,53,4.7,0,7.1,1,84,44,170,23,T,0,,170,20,534,1808
39,64,46,29.82,25.67,50,7.9,0,7.4,1,79,48,250,29,0,0,,250,23,535,1806
30,54,46,29.93,25.73,43,8.5,0,-2.2,11,69,38,250,20,0,0,,240,15,536,1804
27,50,46,30.1,25.86,40,3.8,0,-5.9,15,70,29,160,21,0,0,,240,15,537,1803
34,61,42,30.16,25.94,46,3.5,0,5.5,4,78,43,180,20,T,0,,180,13,538,1801
35,59,45,30.11,25.89,46,4.5,0,3.9,6,79,39,230,23,0,0,,230,18,539,1759
37,59,47,30.09,25.88,48,5.5,0,4.2,6,78,40,350,17,T,0,,350,14,541,1757
33,59,42,30.09,25.87,46,3.1,0,4.6,6,81,36,110,12,T,0,,280,8,542,1755
29,63,35,30.1,25.89,45,2.9,0,9,2,87,38,210,16,0,0,,240,12,543,1753
28,63,33,30.1,25.89,45,2.9,0,9.4,2,90,35,230,13,0,0,,230,10,544,1752
29,65,30,29.85,25.69,48,5.6,0,11.7,0,91,38,220,23,0,0,,220,16,545,1750
34,52,51,29.88,25.71,44,6.5,0,-0.9,13,71,33,160,46,T,0,,160,32,546,1748
33,50,55,30.09,25.84,41,3.4,0,-2.5,15,74,25,110,14,0,0,,260,9,547,1746
38,59,49,30.09,25.87,48,5.1,0,6.9,6,81,36,200,22,0,0,,210,17,549,1744
33,57,53,30.19,25.95,44,4.2,0,5.3,8,75,39,270,15,0,0,,270,13,550,1743
31,61,37,30.05,25.84,45,4.9,0,9.7,4,85,37,50,16,0,0,,240,12,551,1741
35,64,42,29.9,25.75,49,5.2,0,13.1,1,89,38,190,49,0.05,0,,170,36,552,1739
39,60,56,29.88,25.71,49,7.2,0,9.5,5,78,41,170,30,0,0,,170,24,553,1737
33,53,49,29.95,25.74,43,4.6,0,2.8,12,71,34,190,26,0,0,,190,20,554,1735
28,50,44,29.84,25.64,41,6,0,0.2,15,72,28,210,31,T,0,,190,22,556,1733
37,46,69,29.7,25.5,42,6.4,0,-3.4,19,60,32,200,25,0.16,0,,200,21,557,1732
34,41,77,29.56,25.37,38,8.4,0,-8,24,51,30,190,29,0.64,0,,220,21,558,1730
33,37,76,29.89,25.63,36,8.6,0,-11.6,28,46,28,300,24,T,0,,300,18,559,1728
36,45,74,30.13,25.86,41,7.8,0,-3.2,20,55,34,280,25,0.02,0,,280,22,600,1726
32,42,74,30.24,25.94,37,3.6,0,-5.8,23,59,25,120,17,0,0,,110,10,601,1725
33,44,66,30.04,25.77,39,2.9,0,-3.5,21,61,26,140,12,0,0,,30,8,603,1723
43,47,90,29.81,25.59,45,3.6,0,-0.1,18,55,38,240,18,0.29,0,,250,13,604,1721
36,47,67,29.99,25.76,42,9.8,0,0.3,18,61,33,220,37,0,0,,210,28,605,1719
32,44,72,30.24,25.94,37,2,0,-2.4,21,60,27,220,15,0,0,,220,10,606,1718
34,49,60,30.07,25.82,42,3.6,0,3,16,68,30,130,9,0,0,,140,8,607,1716
40,54,67,29.96,25.74,46,1.8,0,8.4,11,73,34,270,9,0,0,,260,8,609,1714
43,54,74,29.98,25.76,47,2.5,0,8.7,11,69,38,300,12,0,0,,290,10,610,1713
42,47,82,30.1,25.86,45,5.3,0,2.1,18,61,33,260,23,0.23,0,,260,18,611,1711
30,44,69,30.39,26.07,36,3.3,0,-0.6,21,62,25,280,12,0,0,,280,10,612,1709
31,46,64,30.25,25.96,38,7,0,1.8,19,63,29,40,25,0,0,,50,21,614,1708
34,52,62,30.04,25.79,41,5.8,0,8.1,13,72,31,230,23,0,0,,220,18,615,1706
35,47,67,30.1,25.84,41,2.4,0,3.5,18,65,29,290,10,0,0,,300,9,616,1705
35,48,69,30.23,25.96,40,5.4,0,4.8,17,65,30,240,21,0,0,,240,17,617,1703
34,48,69,30.31,26.01,39,3.4,0,5.2,17,68,27,240,21,0,0,,240,16,619,1701
35,47,69,30.13,25.87,40,3.4,0,4.5,18,67,27,280,13,0,0,,280,12,620,1700
25,40,54,30.13,25.87,35,9.1,0,-2.2,25,52,27,280,23,0,0,,290,20,621,1658
